"","A.t1_rep2","A.t2_rep2","A.t3_rep2","A.t4_rep2","A.t5_rep2","A.t6_rep2","B.t1_rep2","B.t2_rep2","B.t3_rep2","B.t4_rep2","B.t5_rep2","B.t6_rep2"
"YNL306W",10370,12225,9675,11405,11760,11815,9745,9530,9565,12265,8325,10500
"YNL305C",30695,34165,28470,30590,31585,28620,26900,29135,29265,32295,28615,26200
"YNL304W",3315,3235,3270,2935,3065,2685,1785,1880,1725,1810,1800,1825
"YNL303W",710,965,885,860,980,1010,1330,1265,1460,1540,1425,1405
"YNL302C",90500,105505,98740,105315,104450,107055,126270,123970,126605,145460,123070,127735
"YNL301C",12370,14670,13050,14430,14720,15025,18905,19895,18960,20825,17515,17385
"YNL300W",2325,3225,2535,3045,2555,2995,3970,4165,3395,3900,4410,4530
"YNL299W",1090,1420,1030,1320,915,1445,335,370,285,450,280,380
"YNL298W",7020,6940,5760,6465,5730,5910,3900,3500,3500,3560,2965,3315
"YNL297C",11910,12570,10525,11040,11475,10725,8270,8720,8200,9575,8830,7395
"YNL296W",-5,15,30,10,-10,55,60,25,25,20,35,25
"YNL295W",3855,3975,4265,4110,4235,3890,3055,3280,3015,3015,3070,2575
"YNL294C",19130,21420,19075,20540,19890,17385,16625,17085,16390,19465,15220,15395
"YNL293W",12565,12725,12745,11875,12910,10740,8905,8830,8850,11030,8650,8805
"YNL292W",3860,3595,3810,3670,3640,3105,3420,3615,3085,3930,3010,3110
"YNL291C",6750,8145,6395,7335,6905,6900,5625,5695,5625,6000,5505,4845
"YNL290W",7595,8680,7885,8350,8645,9090,5265,6005,5525,6350,5105,5155
"YNL289W",1780,2475,1565,2270,2200,2730,1115,810,1530,1430,850,1490
"snR40",175,170,155,170,125,195,165,280,280,235,275,205
"YNL288W",16050,17435,16060,16695,16270,14390,13295,12880,13465,14930,12200,12780
"YNL287W",33045,34490,29600,30365,30190,27935,28720,27870,27380,30605,25590,24550
"YNL286W",3340,3760,3335,3460,3830,3320,2640,3570,3135,3630,2590,2795
"YNL285W",185,180,145,140,185,250,65,145,100,150,100,110
"tG(UCC)N",10,10,30,20,15,40,20,40,5,25,20,10
"YNL284C-B",6065,6485,6120,6270,5915,5830,23055,24275,21840,25590,21575,19605
"YNL284C-A",60,5,35,5,-5,15,35,5,-10,0,70,35
"tN(GUU)N1",-30,40,60,55,-5,15,100,10,30,0,75,30
"YNL284C",9945,11760,10825,11275,11810,10825,8275,7615,8240,9375,7540,8800
"tT(AGU)N1",35,25,60,10,15,30,50,95,55,35,60,60
"YNL283C",19270,21950,18750,19515,19675,19070,14550,13615,14580,14455,14175,12785
"YNL282W",1815,2055,1420,1920,1770,1885,775,1150,930,1045,900,840
"YNL281W",9770,11940,10890,11185,10590,11795,10285,10605,10375,12275,9115,10405
"YNL280C",17640,19375,16045,18525,17885,18280,16485,16085,16650,17910,16595,16495
"YNL279W",4285,4455,3950,4050,4170,4310,2945,2420,3105,3185,2420,2860
"YNL278W",4260,4155,4035,4285,4265,4075,1885,1890,1930,1850,1965,1755
"YNL277W-A",50,75,90,50,70,100,90,120,125,115,70,30
"YNL277W",4455,5730,4415,5260,5050,4805,4310,4390,4095,4490,4090,3815
"YNL276C",10,25,5,70,15,40,30,65,55,40,10,-10
"YNL275W",4420,4875,4240,4865,4155,4430,4055,3650,4340,4645,3990,3910
